LAND
ALGERIEN (Paket Light International)
ANGUILLA
ANTIGUA UND BARBUDA
ÄQUATORIAL-GUINEA
ARMENIEN
ARUBA
ASCENSION
ASERBAIDSCHAN (Paket Light International)
AUSTRALIEN (Paket Light International)
BAHAMAS
BAHRAIN
BARBADOS
BELIZE
BENIN
BERMUDAS
BHUTAN
BOLIVIEN
BONAIRE, SINT EUSTATIUS UND SABA
BOTSUANA
BRITISCHE JUNGFERNINSELN
BRUNEI DARUSSALAM
BURKINA FASO
BURUNDI
CHILE
COOKINSELN
COSTA RICA
CÔTE D’IVOIRE
CURACAO
DOMINICA
DOMINIKANISCHE REPUBLIK
ECUADOR
EL SALVADOR
ERITREA
ESWATINI
FALKLAND
FÄRÖER
FIDSCHI
FRANZÖSISCH-GUAYANA
FRANZÖSISCH-POLYNESIEN
GABUN
GAMBIA
GEORGIEN
GRENADA
GRÖNLAND
GUADELOUPE
GUATEMALA
GUERNSEY
GUINEA
GUINEA-BISSAU
GUYANA
HAITI
HONDURAS
JAMAIKA
JEMEN
JERSEY
JORDANIEN
KAIMANINSELN
KAMERUN
KANADA
KAP VERDE
KIRGISTAN
KIRIBATI
KOLUMBIEN (Paket Light International)
KOMOREN
KONGO, DEM. REPUBLIK
KONGO, REPUBLIK
KOREA, DEM. VOLKSREPUBLIK
KUBA
LAOS
LESOTHO
LIBERIA
LIBYEN
MALAWI
MALI
MARSHALLINSELN
MARTINIQUE (FR)
MAURETANIEN
MAURITIUS
MAYOTTE
MIKRONESIEN
MONGOLEI
MONTSERRAT
MOSAMBIK
NAMIBIA
NAURU
NEUKALEDONIEN
NEUSEELAND (Paket Light International)
NICARAGUA
NIGER
NIUE
PALÄSTINENSISCHE GEBIETE
PALAU
PANAMA
PAPUA-NEUGUINEA
PARAGUAY
PERU
PITCAIRNINSELN
RÉUNION
RUSSISCHE FÖDERATION (Paket Light International)
SALOMONEN
SAMBIA
SAMOA
SÃO TOMÉ UND PRINCIPE
SIERRA LEONE
SIMBABWE
SINT MARTEN (NIEDERL. TEIL)
SOMALIA
ST. CHRISTOPHER (ST. KITTS) UND NEVIS
ST. HELENA
ST. LUCIA
ST. PIERRE UND MIQUELON
ST. VINCENT UND GRENADINEN
SÜDSUDAN
SURINAME
SYRIEN
TADSCHIKISTAN
TIMOR-LESTE
TOGO
TOKELAU
TONGA
TRINIDAD UND TOBAGO
TRISTAN DA CUNHA
TSCHAD
TUNESIEN (Paket Light International)
TURKMENISTAN
TURKS- UND CAICOSINSELN
TUVALU
USBEKISTAN
VANUATU
VENEZUELA
VEREINGTE ARABISCHE EMIRATE
VEREINIGTE STAATEN VON AMERIKA (Paket Light International)
WALLIS UND FUTUNA
WEISSRUSSLAND (Paket Light International)
ZENTRALAFRIKANISCHE REPUBLIK








































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































